Top 100 Spanish Words,,
Word,Translation,Part of speech
de,of; from,preposition
la,the; third person feminine singular pronoun,"article , pronoun"
que,"that, which",conjunction
el,the,article
en,"in, on",preposition
y,and,conjunction
a,"to, at",preposition
los,the; third person masculine direct object,"article, pronoun"
se,"-self, oneself ( reflexive )",pronoun
del,from the,preposition
las,the; third person feminine direct object,"article, pronoun"
un,"a, an",article
por,"by, for, through",preposition
con,with,preposition
no,no; not,adverb
una,"a, an, one",article
su,his/her/its/your,possessive
para,"for, to, in order to",preposition
es,is,verb
al,to the,preposition
lo,the; third person masculine direct object,"article, pronoun"
como,"like, as",conjunction
más,more,adjective
o,or,conjunction
pero,but,conjunction
sus,your,possessive
le,third person indirect object,pronoun
ha,he/she/it has [done something]; you (formal) have [done something],verb
me,me,pronoun
si,"if, whether",conjunction
sin,without,preposition
sobre,"on top of, over, about",preposition
este,this,adjective
ya,already; still,adverb
entre,between,preposition
cuando,when,conjunction
todo,"all, every",adjective
esta,this,adjective
ser,to be,verb
son,"they are, you ( pl. ) are",verb
dos,two,number
también,"too, also, as well",adverb
fue,was,verb
había,I/he/she/it/there was (or used to be),verb
era,was,verb
muy,very,adverb
años,years,noun (masculine)
hasta,until,preposition
desde,from; since,preposition
está,is,verb
mi,my,possessive
porque,because,conjunction
qué,what?; which?; how adjective,pronoun
sólo,"only, solely",adverb
han,they/you (pl.) have [done something],verb
yo,I,pronoun
hay,there is/are,verb
vez,"time, instance",noun (feminine)
puede,can,verb
todos,all; every,adjective
así,like that,adverb
nos,us,pronoun
ni,neither; nor; no even,"conjunction, adverb"
parte,part; message,noun (masculine / feminine)
tiene,has,verb
él,"he, it",pronoun (masculine)
uno,one,number
donde,where,preposition
bien,"fine, well",adjective
tiempo,time; weather,noun (masculine)
mismo,same,adjective
ese,that,pronoun
ahora,now,adverb
cada,each; every,determiner
e,and,conjunction
vida,life,noun (feminine)
otro,"other, another",adjective
después,after,preposition
te,"to you, for you; yourself",pronoun
otros,others,pronoun
aunque,"though, although, even though",conjunction
esa,that,adjective
eso,that,pronoun
hace,he/she/it does/makes,verb
otra,other; another,"adjective, pronoun"
gobierno,government,noun (masculine)
tan,so,adverb
durante,during,preposition
siempre,always,adverb
día,day,noun (masculine)
tanto,so much,"adjective, adverb"
ella,"she, her; it",pronoun
tres,three,number
sí,yes; reflexive pronoun,"noun, pronoun"
dijo,said; told,verb
sido,been,past participle
gran,"large, great, big",adjective
país,country,noun (masculine)
según,as; according to,preposition
menos,less; fewer,adjective
